Vehicle ID,Timestamp,Speed (km/h)
Vehicle 1,2022-04-01 15:08:28,2.16
Vehicle 1,2022-04-01 15:08:29,2.16
Vehicle 1,2022-04-01 15:08:30,1.4400000000000002
Vehicle 1,2022-04-01 15:08:31,12.96
Vehicle 1,2022-04-01 15:08:32,12.24
Vehicle 1,2022-04-01 15:08:33,15.120000000000001
Vehicle 1,2022-04-01 15:08:34,14.4
Vehicle 1,2022-04-01 15:08:35,11.16
Vehicle 1,2022-04-01 15:08:36,24.12
Vehicle 1,2022-04-01 15:08:37,0.0
Vehicle 1,2022-04-01 15:08:38,0.0
Vehicle 1,2022-04-01 15:08:39,0.0
Vehicle 1,2022-04-01 15:08:40,0.0
Vehicle 1,2022-04-01 15:08:41,0.0
Vehicle 1,2022-04-01 15:08:42,0.0
Vehicle 1,2022-04-01 15:08:43,0.0
Vehicle 1,2022-04-01 15:08:44,0.0
Vehicle 1,2022-04-01 15:08:45,0.0
Vehicle 1,2022-04-01 15:08:46,0.0
Vehicle 1,2022-04-01 15:08:47,0.0
Vehicle 1,2022-04-01 15:08:48,0.0
Vehicle 1,2022-04-01 15:08:49,0.0
Vehicle 1,2022-04-01 15:08:50,0.0
Vehicle 1,2022-04-01 15:08:51,0.0
Vehicle 1,2022-04-01 15:08:52,0.0
Vehicle 1,2022-04-01 15:08:53,0.0
Vehicle 1,2022-04-01 15:08:54,0.0
Vehicle 1,2022-04-01 15:08:55,0.0
Vehicle 1,2022-04-01 15:08:56,0.0
Vehicle 1,2022-04-01 15:08:57,0.0
Vehicle 1,2022-04-01 15:08:58,0.0
Vehicle 1,2022-04-01 15:08:59,0.0
Vehicle 1,2022-04-01 15:09:00,0.0
Vehicle 1,2022-04-01 15:09:01,1.4400000000000002
Vehicle 1,2022-04-01 15:09:02,1.8
Vehicle 1,2022-04-01 15:09:03,2.16
Vehicle 1,2022-04-01 15:09:04,2.16
Vehicle 1,2022-04-01 15:09:05,1.4400000000000002
Vehicle 1,2022-04-01 15:09:06,1.08
Vehicle 1,2022-04-01 15:09:07,0.36000000000000004
Vehicle 1,2022-04-01 15:09:08,0.36000000000000004
Vehicle 1,2022-04-01 15:09:09,0.36000000000000004
Vehicle 1,2022-04-01 15:09:10,0.0
Vehicle 1,2022-04-01 15:09:11,0.7200000000000001
Vehicle 1,2022-04-01 15:09:12,1.08
Vehicle 1,2022-04-01 15:09:13,2.16
Vehicle 1,2022-04-01 15:09:14,3.24
Vehicle 1,2022-04-01 15:09:15,3.9600000000000004
Vehicle 1,2022-04-01 15:09:16,4.680000000000001
Vehicle 1,2022-04-01 15:09:17,5.4
Vehicle 1,2022-04-01 15:09:18,6.12
Vehicle 1,2022-04-01 15:09:19,5.04
Vehicle 1,2022-04-01 15:09:20,3.24
Vehicle 1,2022-04-01 15:09:21,1.4400000000000002
Vehicle 1,2022-04-01 15:09:22,0.36000000000000004
Vehicle 1,2022-04-01 15:09:23,1.4400000000000002
Vehicle 1,2022-04-01 15:09:24,1.4400000000000002
Vehicle 1,2022-04-01 15:09:26,1.8
Vehicle 1,2022-04-01 15:09:27,1.4400000000000002
Vehicle 1,2022-04-01 15:09:28,1.4400000000000002
Vehicle 1,2022-04-01 15:09:29,1.08
Vehicle 1,2022-04-01 15:09:30,0.7200000000000001
Vehicle 1,2022-04-01 15:09:31,0.36000000000000004
Vehicle 1,2022-04-01 15:09:32,0.36000000000000004
Vehicle 1,2022-04-01 15:09:33,0.36000000000000004
Vehicle 1,2022-04-01 15:09:34,0.36000000000000004
Vehicle 1,2022-04-01 15:09:35,0.0
Vehicle 1,2022-04-01 15:09:36,0.0
Vehicle 1,2022-04-01 15:09:37,0.0
Vehicle 1,2022-04-01 15:09:38,0.0
Vehicle 1,2022-04-01 15:09:39,3.6
Vehicle 1,2022-04-01 15:09:40,3.9600000000000004
Vehicle 1,2022-04-01 15:09:41,3.24
Vehicle 1,2022-04-01 15:09:42,2.8800000000000003
Vehicle 1,2022-04-01 15:09:43,2.8800000000000003
Vehicle 1,2022-04-01 15:09:44,2.52
Vehicle 1,2022-04-01 15:09:45,2.52
Vehicle 1,2022-04-01 15:09:46,2.52
Vehicle 1,2022-04-01 15:09:47,1.08
Vehicle 1,2022-04-01 15:09:48,1.8
Vehicle 1,2022-04-01 15:09:49,6.12
Vehicle 1,2022-04-01 15:09:50,15.120000000000001
Vehicle 1,2022-04-01 15:09:51,7.2
Vehicle 1,2022-04-01 15:09:52,10.8
Vehicle 1,2022-04-01 15:09:53,9.0
Vehicle 1,2022-04-01 15:09:54,3.24
Vehicle 1,2022-04-01 15:09:55,5.04
Vehicle 1,2022-04-01 15:09:56,4.32
Vehicle 1,2022-04-01 15:09:57,4.32
Vehicle 1,2022-04-01 15:09:58,3.6
